video_id,agn_index,video_key,video_path,source_video,round_number,dataset_type,data_root,fight_index,fight_folder,frame,fighter,punch_type,hand,target,effectiveness,clear,width,height
АГН-1,1,agn_001,бокс/IMG_7390.mp4,IMG_7390.mp4,,training,бокс,1,бокс,191,blue,jab,left,head,blocked,false,1920,960
АГН-1,1,agn_001,бокс/IMG_7390.mp4,IMG_7390.mp4,,training,бокс,1,бокс,210,blue,jab,left,head,blocked,true,1920,960
АГН-1,1,agn_001,бокс/IMG_7390.mp4,IMG_7390.mp4,,training,бокс,1,бокс,260,blue,jab,left,head,landed,true,1920,960
АГН-1,1,agn_001,бокс/IMG_7390.mp4,IMG_7390.mp4,,training,бокс,1,бокс,414,blue,cross,left,head,landed,true,1920,960
АГН-1,1,agn_001,бокс/IMG_7390.mp4,IMG_7390.mp4,,training,бокс,1,бокс,459,blue,cross,left,head,landed,true,1920,960
АГН-1,1,agn_001,бокс/IMG_7390.mp4,IMG_7390.mp4,,training,бокс,1,бокс,548,red,jab,right,body,landed,false,1920,960
АГН-1,1,agn_001,бокс/IMG_7390.mp4,IMG_7390.mp4,,training,бокс,1,бокс,628,blue,cross,left,head,miss,true,1920,960
АГН-1,1,agn_001,бокс/IMG_7390.mp4,IMG_7390.mp4,,training,бокс,1,бокс,631,red,cross,left,head,landed,true,1920,960
АГН-1,1,agn_001,бокс/IMG_7390.mp4,IMG_7390.mp4,,training,бокс,1,бокс,724,blue,cross,left,head,landed,true,1920,960
АГН-1,1,agn_001,бокс/IMG_7390.mp4,IMG_7390.mp4,,training,бокс,1,бокс,786,red,cross,left,body,landed,false,1920,960
АГН-1,1,agn_001,бокс/IMG_7390.mp4,IMG_7390.mp4,,training,бокс,1,бокс,843,blue,cross,left,head,landed,false,1920,960
АГН-1,1,agn_001,бокс/IMG_7390.mp4,IMG_7390.mp4,,training,бокс,1,бокс,853,red,hook,left,head,landed,true,1920,960
АГН-1,1,agn_001,бокс/IMG_7390.mp4,IMG_7390.mp4,,training,бокс,1,бокс,855,blue,cross,left,head,landed,true,1920,960
АГН-1,1,agn_001,бокс/IMG_7390.mp4,IMG_7390.mp4,,training,бокс,1,бокс,894,blue,cross,left,head,landed,true,1920,960
АГН-1,1,agn_001,бокс/IMG_7390.mp4,IMG_7390.mp4,,training,бокс,1,бокс,929,blue,hook,left,head,landed,true,1920,960
АГН-1,1,agn_001,бокс/IMG_7390.mp4,IMG_7390.mp4,,training,бокс,1,бокс,953,blue,cross,left,head,landed,true,1920,960
АГН-1,1,agn_001,бокс/IMG_7390.mp4,IMG_7390.mp4,,training,бокс,1,бокс,964,blue,cross,left,head,miss,true,1920,960
АГН-1,1,agn_001,бокс/IMG_7390.mp4,IMG_7390.mp4,,training,бокс,1,бокс,972,red,jab,left,body,miss,true,1920,960
АГН-1,1,agn_001,бокс/IMG_7390.mp4,IMG_7390.mp4,,training,бокс,1,бокс,989,red,hook,left,head,miss,true,1920,960
АГН-1,1,agn_001,бокс/IMG_7390.mp4,IMG_7390.mp4,,training,бокс,1,бокс,1069,blue,cross,left,head,blocked,true,1920,960
АГН-1,1,agn_001,бокс/IMG_7390.mp4,IMG_7390.mp4,,training,бокс,1,бокс,1134,blue,cross,left,head,miss,true,1920,960
АГН-1,1,agn_001,бокс/IMG_7390.mp4,IMG_7390.mp4,,training,бокс,1,бокс,1137,red,hook,right,head,landed,true,1920,960
АГН-1,1,agn_001,бокс/IMG_7390.mp4,IMG_7390.mp4,,training,бокс,1,бокс,1140,blue,cross,left,head,miss,true,1920,960
АГН-1,1,agn_001,бокс/IMG_7390.mp4,IMG_7390.mp4,,training,бокс,1,бокс,1178,blue,cross,left,head,miss,true,1920,960
АГН-1,1,agn_001,бокс/IMG_7390.mp4,IMG_7390.mp4,,training,бокс,1,бокс,1178,red,cross,left,head,landed,true,1920,960
АГН-1,1,agn_001,бокс/IMG_7390.mp4,IMG_7390.mp4,,training,бокс,1,бокс,1313,red,cross,right,body,landed,true,1920,960
АГН-1,1,agn_001,бокс/IMG_7390.mp4,IMG_7390.mp4,,training,бокс,1,бокс,1412,blue,cross,left,head,landed,false,1920,960
АГН-1,1,agn_001,бокс/IMG_7390.mp4,IMG_7390.mp4,,training,бокс,1,бокс,1443,blue,jab,left,body,landed,false,1920,960
АГН-1,1,agn_001,бокс/IMG_7390.mp4,IMG_7390.mp4,,training,бокс,1,бокс,1488,blue,cross,left,head,landed,true,1920,960
АГН-1,1,agn_001,бокс/IMG_7390.mp4,IMG_7390.mp4,,training,бокс,1,бокс,1505,blue,hook,left,head,miss,true,1920,960
АГН-1,1,agn_001,бокс/IMG_7390.mp4,IMG_7390.mp4,,training,бокс,1,бокс,1511,red,hook,left,head,landed,true,1920,960
АГН-1,1,agn_001,бокс/IMG_7390.mp4,IMG_7390.mp4,,training,бокс,1,бокс,1532,red,uppercut,right,body,landed,false,1920,960
АГН-1,1,agn_001,бокс/IMG_7390.mp4,IMG_7390.mp4,,training,бокс,1,бокс,1559,blue,hook,left,head,landed,true,1920,960
АГН-1,1,agn_001,бокс/IMG_7390.mp4,IMG_7390.mp4,,training,бокс,1,бокс,1635,red,jab,right,head,landed,true,1920,960
АГН-1,1,agn_001,бокс/IMG_7390.mp4,IMG_7390.mp4,,training,бокс,1,бокс,1654,red,jab,right,head,landed,false,1920,960
АГН-1,1,agn_001,бокс/IMG_7390.mp4,IMG_7390.mp4,,training,бокс,1,бокс,1675,red,hook,right,head,blocked,true,1920,960
АГН-1,1,agn_001,бокс/IMG_7390.mp4,IMG_7390.mp4,,training,бокс,1,бокс,1683,red,cross,right,head,miss,true,1920,960
АГН-1,1,agn_001,бокс/IMG_7390.mp4,IMG_7390.mp4,,training,бокс,1,бокс,1749,red,cross,right,head,miss,true,1920,960
АГН-1,1,agn_001,бокс/IMG_7390.mp4,IMG_7390.mp4,,training,бокс,1,бокс,1752,blue,cross,right,head,landed,false,1920,960
АГН-1,1,agn_001,бокс/IMG_7390.mp4,IMG_7390.mp4,,training,бокс,1,бокс,1789,red,uppercut,right,body,landed,false,1920,960
АГН-1,1,agn_001,бокс/IMG_7390.mp4,IMG_7390.mp4,,training,бокс,1,бокс,1804,red,cross,left,head,miss,true,1920,960
АГН-1,1,agn_001,бокс/IMG_7390.mp4,IMG_7390.mp4,,training,бокс,1,бокс,1824,red,uppercut,right,body,miss,true,1920,960
АГН-1,1,agn_001,бокс/IMG_7390.mp4,IMG_7390.mp4,,training,бокс,1,бокс,1900,blue,cross,left,head,landed,true,1920,960
АГН-1,1,agn_001,бокс/IMG_7390.mp4,IMG_7390.mp4,,training,бокс,1,бокс,1905,red,cross,left,head,miss,true,1920,960
АГН-1,1,agn_001,бокс/IMG_7390.mp4,IMG_7390.mp4,,training,бокс,1,бокс,1920,blue,cross,left,head,landed,true,1920,960
АГН-1,1,agn_001,бокс/IMG_7390.mp4,IMG_7390.mp4,,training,бокс,1,бокс,1927,red,hook,left,head,landed,true,1920,960
АГН-1,1,agn_001,бокс/IMG_7390.mp4,IMG_7390.mp4,,training,бокс,1,бокс,1939,red,cross,right,head,landed,true,1920,960
АГН-1,1,agn_001,бокс/IMG_7390.mp4,IMG_7390.mp4,,training,бокс,1,бокс,1947,red,jab,right,head,landed,true,1920,960
АГН-1,1,agn_001,бокс/IMG_7390.mp4,IMG_7390.mp4,,training,бокс,1,бокс,1954,red,jab,right,head,miss,true,1920,960
АГН-1,1,agn_001,бокс/IMG_7390.mp4,IMG_7390.mp4,,training,бокс,1,бокс,1963,red,uppercut,left,head,landed,true,1920,960
АГН-1,1,agn_001,бокс/IMG_7390.mp4,IMG_7390.mp4,,training,бокс,1,бокс,1973,red,uppercut,right,head,miss,true,1920,960
АГН-1,1,agn_001,бокс/IMG_7390.mp4,IMG_7390.mp4,,training,бокс,1,бокс,2033,blue,uppercut,left,head,miss,true,1920,960
АГН-1,1,agn_001,бокс/IMG_7390.mp4,IMG_7390.mp4,,training,бокс,1,бокс,2033,red,hook,right,body,landed,true,1920,960
АГН-1,1,agn_001,бокс/IMG_7390.mp4,IMG_7390.mp4,,training,бокс,1,бокс,2034,blue,hook,left,head,landed,true,1920,960
АГН-1,1,agn_001,бокс/IMG_7390.mp4,IMG_7390.mp4,,training,бокс,1,бокс,2038,red,hook,left,head,landed,true,1920,960
АГН-1,1,agn_001,бокс/IMG_7390.mp4,IMG_7390.mp4,,training,бокс,1,бокс,2065,blue,cross,left,body,landed,true,1920,960
АГН-1,1,agn_001,бокс/IMG_7390.mp4,IMG_7390.mp4,,training,бокс,1,бокс,2075,blue,cross,right,head,landed,true,1920,960
АГН-1,1,agn_001,бокс/IMG_7390.mp4,IMG_7390.mp4,,training,бокс,1,бокс,2109,blue,hook,left,head,miss,true,1920,960
АГН-1,1,agn_001,бокс/IMG_7390.mp4,IMG_7390.mp4,,training,бокс,1,бокс,2117,red,hook,left,head,blocked,true,1920,960
АГН-1,1,agn_001,бокс/IMG_7390.mp4,IMG_7390.mp4,,training,бокс,1,бокс,2129,red,hook,right,head,landed,false,1920,960
АГН-1,1,agn_001,бокс/IMG_7390.mp4,IMG_7390.mp4,,training,бокс,1,бокс,2138,red,uppercut,left,body,landed,true,1920,960
АГН-1,1,agn_001,бокс/IMG_7390.mp4,IMG_7390.mp4,,training,бокс,1,бокс,2173,blue,cross,right,head,landed,true,1920,960
АГН-1,1,agn_001,бокс/IMG_7390.mp4,IMG_7390.mp4,,training,бокс,1,бокс,2237,blue,hook,right,head,landed,true,1920,960
АГН-1,1,agn_001,бокс/IMG_7390.mp4,IMG_7390.mp4,,training,бокс,1,бокс,2284,blue,uppercut,right,body,blocked,false,1920,960
АГН-1,1,agn_001,бокс/IMG_7390.mp4,IMG_7390.mp4,,training,бокс,1,бокс,2286,blue,uppercut,right,head,landed,false,1920,960
АГН-1,1,agn_001,бокс/IMG_7390.mp4,IMG_7390.mp4,,training,бокс,1,бокс,2308,red,cross,left,head,landed,false,1920,960
АГН-1,1,agn_001,бокс/IMG_7390.mp4,IMG_7390.mp4,,training,бокс,1,бокс,2331,red,cross,right,head,landed,true,1920,960
АГН-1,1,agn_001,бокс/IMG_7390.mp4,IMG_7390.mp4,,training,бокс,1,бокс,2403,blue,jab,right,head,landed,true,1920,960
АГН-1,1,agn_001,бокс/IMG_7390.mp4,IMG_7390.mp4,,training,бокс,1,бокс,2471,red,hook,left,head,landed,true,1920,960
АГН-1,1,agn_001,бокс/IMG_7390.mp4,IMG_7390.mp4,,training,бокс,1,бокс,2484,red,jab,left,body,landed,false,1920,960
АГН-1,1,agn_001,бокс/IMG_7390.mp4,IMG_7390.mp4,,training,бокс,1,бокс,2488,blue,hook,right,head,landed,true,1920,960
АГН-1,1,agn_001,бокс/IMG_7390.mp4,IMG_7390.mp4,,training,бокс,1,бокс,2491,red,uppercut,right,head,miss,true,1920,960
АГН-1,1,agn_001,бокс/IMG_7390.mp4,IMG_7390.mp4,,training,бокс,1,бокс,2499,red,hook,left,head,miss,true,1920,960
АГН-1,1,agn_001,бокс/IMG_7390.mp4,IMG_7390.mp4,,training,бокс,1,бокс,2596,blue,uppercut,left,head,miss,true,1920,960
АГН-1,1,agn_001,бокс/IMG_7390.mp4,IMG_7390.mp4,,training,бокс,1,бокс,2619,red,cross,left,head,landed,true,1920,960
АГН-1,1,agn_001,бокс/IMG_7390.mp4,IMG_7390.mp4,,training,бокс,1,бокс,2721,blue,hook,right,head,blocked,true,1920,960
АГН-1,1,agn_001,бокс/IMG_7390.mp4,IMG_7390.mp4,,training,бокс,1,бокс,2818,blue,cross,left,head,miss,true,1920,960
АГН-1,1,agn_001,бокс/IMG_7390.mp4,IMG_7390.mp4,,training,бокс,1,бокс,2924,red,hook,right,head,landed,false,1920,960
АГН-1,1,agn_001,бокс/IMG_7390.mp4,IMG_7390.mp4,,training,бокс,1,бокс,3009,red,cross,right,body,landed,true,1920,960
АГН-1,1,agn_001,бокс/IMG_7390.mp4,IMG_7390.mp4,,training,бокс,1,бокс,3042,red,cross,right,head,blocked,true,1920,960
АГН-1,1,agn_001,бокс/IMG_7390.mp4,IMG_7390.mp4,,training,бокс,1,бокс,3152,red,cross,right,head,landed,true,1920,960
АГН-1,1,agn_001,бокс/IMG_7390.mp4,IMG_7390.mp4,,training,бокс,1,бокс,3154,blue,cross,right,head,landed,true,1920,960
АГН-1,1,agn_001,бокс/IMG_7390.mp4,IMG_7390.mp4,,training,бокс,1,бокс,3172,blue,cross,right,head,landed,false,1920,960
АГН-1,1,agn_001,бокс/IMG_7390.mp4,IMG_7390.mp4,,training,бокс,1,бокс,3173,red,cross,right,head,landed,true,1920,960
АГН-1,1,agn_001,бокс/IMG_7390.mp4,IMG_7390.mp4,,training,бокс,1,бокс,3199,blue,cross,right,head,landed,true,1920,960
АГН-1,1,agn_001,бокс/IMG_7390.mp4,IMG_7390.mp4,,training,бокс,1,бокс,3233,red,cross,right,head,landed,true,1920,960
АГН-1,1,agn_001,бокс/IMG_7390.mp4,IMG_7390.mp4,,training,бокс,1,бокс,3238,red,hook,left,head,miss,true,1920,960
АГН-1,1,agn_001,бокс/IMG_7390.mp4,IMG_7390.mp4,,training,бокс,1,бокс,3244,red,uppercut,right,head,landed,true,1920,960
АГН-1,1,agn_001,бокс/IMG_7390.mp4,IMG_7390.mp4,,training,бокс,1,бокс,3332,red,cross,left,head,landed,true,1920,960
АГН-1,1,agn_001,бокс/IMG_7390.mp4,IMG_7390.mp4,,training,бокс,1,бокс,3348,red,jab,left,head,landed,true,1920,960
АГН-1,1,agn_001,бокс/IMG_7390.mp4,IMG_7390.mp4,,training,бокс,1,бокс,3368,blue,hook,right,head,landed,true,1920,960
АГН-1,1,agn_001,бокс/IMG_7390.mp4,IMG_7390.mp4,,training,бокс,1,бокс,3391,red,cross,left,head,landed,true,1920,960
АГН-1,1,agn_001,бокс/IMG_7390.mp4,IMG_7390.mp4,,training,бокс,1,бокс,3401,red,hook,right,head,landed,false,1920,960
АГН-1,1,agn_001,бокс/IMG_7390.mp4,IMG_7390.mp4,,training,бокс,1,бокс,3417,blue,cross,right,head,miss,true,1920,960
АГН-2,2,agn_002,бокс/IMG_7391.mp4,IMG_7391.mp4,,training,бокс,2,бокс,140,red,jab,left,head,blocked,true,1920,1080
АГН-2,2,agn_002,бокс/IMG_7391.mp4,IMG_7391.mp4,,training,бокс,2,бокс,171,blue,hook,left,head,miss,true,1920,1080
АГН-2,2,agn_002,бокс/IMG_7391.mp4,IMG_7391.mp4,,training,бокс,2,бокс,259,red,cross,left,head,landed,true,1920,1080
АГН-2,2,agn_002,бокс/IMG_7391.mp4,IMG_7391.mp4,,training,бокс,2,бокс,278,red,cross,left,body,landed,true,1920,1080
АГН-2,2,agn_002,бокс/IMG_7391.mp4,IMG_7391.mp4,,training,бокс,2,бокс,307,red,jab,left,head,landed,true,1920,1080
АГН-2,2,agn_002,бокс/IMG_7391.mp4,IMG_7391.mp4,,training,бокс,2,бокс,342,blue,cross,left,body,landed,true,1920,1080
АГН-2,2,agn_002,бокс/IMG_7391.mp4,IMG_7391.mp4,,training,бокс,2,бокс,356,blue,cross,left,head,landed,true,1920,1080
АГН-2,2,agn_002,бокс/IMG_7391.mp4,IMG_7391.mp4,,training,бокс,2,бокс,441,red,cross,left,head,landed,true,1920,1080
АГН-2,2,agn_002,бокс/IMG_7391.mp4,IMG_7391.mp4,,training,бокс,2,бокс,503,red,cross,left,head,blocked,true,1920,1080
АГН-2,2,agn_002,бокс/IMG_7391.mp4,IMG_7391.mp4,,training,бокс,2,бокс,510,red,cross,right,body,landed,true,1920,1080
АГН-2,2,agn_002,бокс/IMG_7391.mp4,IMG_7391.mp4,,training,бокс,2,бокс,518,blue,jab,right,head,landed,true,1920,1080
АГН-2,2,agn_002,бокс/IMG_7391.mp4,IMG_7391.mp4,,training,бокс,2,бокс,525,blue,cross,left,head,landed,true,1920,1080
АГН-2,2,agn_002,бокс/IMG_7391.mp4,IMG_7391.mp4,,training,бокс,2,бокс,534,blue,cross,right,head,landed,true,1920,1080
АГН-2,2,agn_002,бокс/IMG_7391.mp4,IMG_7391.mp4,,training,бокс,2,бокс,550,red,cross,left,head,blocked,true,1920,1080
АГН-2,2,agn_002,бокс/IMG_7391.mp4,IMG_7391.mp4,,training,бокс,2,бокс,572,blue,cross,right,head,landed,true,1920,1080
АГН-2,2,agn_002,бокс/IMG_7391.mp4,IMG_7391.mp4,,training,бокс,2,бокс,681,blue,cross,right,head,landed,true,1920,1080
АГН-2,2,agn_002,бокс/IMG_7391.mp4,IMG_7391.mp4,,training,бокс,2,бокс,862,blue,uppercut,left,head,landed,false,1920,1080
АГН-2,2,agn_002,бокс/IMG_7391.mp4,IMG_7391.mp4,,training,бокс,2,бокс,942,red,cross,right,head,landed,true,1920,1080
АГН-2,2,agn_002,бокс/IMG_7391.mp4,IMG_7391.mp4,,training,бокс,2,бокс,954,blue,cross,right,head,landed,true,1920,1080
АГН-2,2,agn_002,бокс/IMG_7391.mp4,IMG_7391.mp4,,training,бокс,2,бокс,1038,red,cross,left,head,landed,true,1920,1080
АГН-2,2,agn_002,бокс/IMG_7391.mp4,IMG_7391.mp4,,training,бокс,2,бокс,1107,blue,hook,right,head,landed,true,1920,1080
АГН-2,2,agn_002,бокс/IMG_7391.mp4,IMG_7391.mp4,,training,бокс,2,бокс,1252,red,cross,left,head,landed,false,1920,1080
